City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,byron bay,-28.65,153.6167,48.7,81,6,4.16,AU,1691614597
1,grytviken,-54.2811,-36.5092,18.66,73,12,5.64,GS,1691614505
2,san antonio de pale,-1.4014,5.6325,74.75,81,90,12.59,GQ,1691614597
3,hotan,37.0997,79.9269,81.82,26,55,6.49,CN,1691614597
4,hilo,19.7297,-155.09,82.27,86,100,6.91,US,1691614556
5,uturoa,-16.7333,-151.4333,76.87,70,9,17.72,PF,1691614598
6,port elizabeth,-33.918,25.5701,62.89,77,0,17.27,ZA,1691614598
7,bredasdorp,-34.5322,20.0403,51.24,92,0,3.56,ZA,1691614598
8,colonia,50.9333,6.95,64.06,74,0,4.61,DE,1691614348
9,kirakira,-10.4544,161.9205,77.2,89,100,8.66,SB,1691614598
10,qaqortoq,60.7167,-46.0333,45.84,75,16,4.34,GL,1691614599
11,aksu,41.1231,80.2644,77.65,36,9,2.24,CN,1691614599
12,thompson,55.7435,-97.8558,66.36,45,75,11.5,CA,1691614599
13,waitangi,-43.9535,-176.5597,48.81,77,78,4.0,NZ,1691614491
14,atafu village,-8.5421,-172.5159,82.92,79,100,15.01,TK,1691614599
15,illizi,26.4833,8.4667,93.0,13,0,8.77,DZ,1691614599
16,adamstown,-25.066,-130.1015,65.97,69,59,21.59,PN,1691614600
17,bethel,41.3712,-73.414,86.02,52,0,13.8,US,1691614302
18,williams lake,52.1415,-122.1445,74.05,59,75,3.44,CA,1691614507
19,iqaluit,63.7506,-68.5145,40.73,93,100,8.05,CA,1691614417
20,klyuchi,52.2667,79.1667,67.35,46,80,6.89,RU,1691614600
21,necochea,-38.5473,-58.7368,52.81,78,94,10.29,AR,1691614358
22,ushuaia,-54.8,-68.3,47.86,49,40,13.8,AR,1691614600
23,stanley,54.868,-1.6985,63.79,85,75,5.75,GB,1691614601
24,bilibino,68.0546,166.4372,51.76,47,99,3.44,RU,1691614601
25,miasskoye,55.2784,61.8905,62.87,76,40,8.03,RU,1691614601
26,ribeira grande,38.5167,-28.7,77.4,78,20,11.5,PT,1691614601
27,las heras,-46.5419,-68.9359,54.54,59,100,20.65,AR,1691614602
28,i-n-salah,27.1935,2.4607,99.37,10,0,17.36,DZ,1691614602
29,yellowknife,62.456,-114.3525,70.32,43,75,17.27,CA,1691614509
30,jamestown,42.097,-79.2353,81.01,55,20,12.66,US,1691614564
31,broken hill,-31.95,141.4333,50.79,82,40,10.02,AU,1691614602
32,callao,-12.0667,-77.15,71.89,68,100,11.5,PE,1691614333
33,port-aux-francais,-49.35,70.2167,36.77,78,92,27.49,TF,1691614603
34,mata-utu,-13.2816,-176.1745,82.27,76,11,11.34,WF,1691614587
35,shanhaiguan,39.9988,119.7564,73.11,73,0,5.68,CN,1691614603
36,nazira,26.9167,94.7333,77.58,97,96,2.24,IN,1691614603
37,the pas,53.8251,-101.2541,64.42,45,0,5.75,CA,1691614603
38,ramanuj ganj,23.8,83.7,74.03,86,94,5.1,IN,1691614603
39,puerto natales,-51.7236,-72.4875,37.24,95,87,2.75,CL,1691614607
40,margaret river,-33.95,115.0667,50.88,78,100,3.51,AU,1691614607
41,hawaiian paradise park,19.5933,-154.9731,81.03,81,100,6.91,US,1691614608
42,edinburgh of the seven seas,-37.0676,-12.3116,51.49,60,63,24.99,SH,1691614608
43,paea,-17.6833,-149.5833,82.11,65,20,3.44,PF,1691614608
44,codrington,-38.2667,141.9667,50.61,82,74,16.91,AU,1691614608
45,talnakh,69.4865,88.3972,56.21,65,100,4.85,RU,1691614608
46,vila franca do campo,37.7167,-25.4333,73.81,95,100,11.32,PT,1691614348
47,moranbah,-22.0016,148.0466,53.56,93,0,7.27,AU,1691614609
48,kodiak,57.79,-152.4072,53.11,100,100,4.61,US,1691614609
49,east london,-33.0153,27.9116,62.85,80,65,16.89,ZA,1691614609
50,brokopondo,4.75,-55.1667,88.57,62,60,1.07,SR,1691614609
